school_name,borough,average_math,average_reading,average_writing,total_SAT
Stuyvesant High School,Manhattan,754,697,693,2144
Bronx High School of Science,Bronx,714,660,667,2041
Staten Island Technical High School,Staten Island,711,660,670,2041
High School of American Studies at Lehman College,Bronx,669,672,672,2013
Townsend Harris High School,Queens,680,640,661,1981
Queens High School for the Sciences at York College,Queens,701,621,625,1947
Bard High School Early College,Manhattan,634,641,639,1914
Brooklyn Technical High School,Brooklyn,682,608,606,1896
Eleanor Roosevelt High School,Manhattan,641,617,631,1889
"High School for Mathematics, Science, and Engineering at City College",Manhattan,683,610,596,1889
